user_name,tweet_id,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,word
whatstoit,1.63933E+18,,,2021-09-26 02:07:46+00:00,3,11,249,FALSE,2023-03-24 18:20:54+00:00,@cly_d33 Thank you.,,Twitter for Android,FALSE,D33
Steve Dunford,1.63933E+18,,,2015-10-21 18:11:06+00:00,14,68,21,FALSE,2023-03-24 18:18:06+00:00,@Diablo Does it really though? 53 minute wait for an error followed by a 46 minute wait?,,Twitter for Android,FALSE,D33
Saleem Ullah,1.63932E+18,,,2022-07-02 10:28:59+00:00,8,379,309,FALSE,2023-03-24 17:19:49+00:00,"RT @HamdanMohammed: Today, I met with Dubai Government’s senior officials to discuss ambitious transformations in government work. With the…",,Twitter for Android,FALSE,D33
Saleem Ullah,1.63932E+18,,,2022-07-02 10:28:59+00:00,8,379,309,FALSE,2023-03-24 17:19:25+00:00,RT @HamdanMohammed: Our directives are aimed at accelerating our plans to achieve this goal and make Dubai one of the top 10 digital econom…,,Twitter for Android,FALSE,D33
Saleem Ullah,1.63932E+18,,,2022-07-02 10:28:59+00:00,8,379,309,FALSE,2023-03-24 17:19:03+00:00,"RT @HamdanMohammed: This initiative will grant Emirati companies a global platform, aligning with D33's aspirations, and enabling further p…",,Twitter for Android,FALSE,D33
Shiehk hamdan Bin,1.63932E+18,"Dubai, United Arab Emirates","Every picture has a story and every story has a moment that I'd love to share with you
Thanks and enjoy 😏",2023-01-13 09:11:00+00:00,7,17,5,FALSE,2023-03-24 17:18:26+00:00,RT @HamdanMohammed: Our directives are aimed at accelerating our plans to achieve this goal and make Dubai one of the top 10 digital econom…,,Twitter for Android,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63932E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 17:17:07+00:00,WHY IS THIS DUDE JOKING AB BALLS IM TRYING TO TAKE A GOOD PICTURE STOP  LMAOOOO i want to EEWEUGLGM STOOPP IM LAUGHING SO HARD,,Twitter for Android,FALSE,D33
DP Dutcher,1.63932E+18,Southern California,"Was livin the life. Then I inherited a grand child to raise so I taught her to golf too. Christian, old surfer, damn good golfer. 
Male/Normal/hack 5.8 hdcp",2022-10-12 03:48:30+00:00,162,239,4113,FALSE,2023-03-24 17:16:39+00:00,"@golfwank3r @d33_jordy @ronnie2609 @flushingitgolf Dude, you see top players in every sport leaving to play for mor… https://t.co/xJ3uu5zL5v",,Twitter Web App,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63931E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 17:01:53+00:00,@the_boxfort FLMAO YES HELP ME,,Twitter for Android,FALSE,D33
Chris,1.63931E+18,Manchester ,"“No matter how good we get, we can always get better, that’s the exciting part” - Tiger Woods",2022-03-02 17:07:06+00:00,88,170,1344,FALSE,2023-03-24 17:00:46+00:00,@DpDutcher @d33_jordy @ronnie2609 @flushingitgolf If all the players didn’t give a rats ass as you say then all the… https://t.co/W0GOVKv0nZ,,Twitter for iPhone,FALSE,D33
DP Dutcher,1.63931E+18,Southern California,"Was livin the life. Then I inherited a grand child to raise so I taught her to golf too. Christian, old surfer, damn good golfer. 
Male/Normal/hack 5.8 hdcp",2022-10-12 03:48:30+00:00,162,239,4113,FALSE,2023-03-24 16:54:39+00:00,"@golfwank3r @d33_jordy @ronnie2609 @flushingitgolf yeah, we know that. The point is, that don't give a rats ass wha… https://t.co/IAfKxQAjmI",,Twitter Web App,FALSE,D33
Chris,1.63931E+18,Manchester ,"“No matter how good we get, we can always get better, that’s the exciting part” - Tiger Woods",2022-03-02 17:07:06+00:00,88,170,1344,FALSE,2023-03-24 16:46:40+00:00,"@DpDutcher @d33_jordy @ronnie2609 @flushingitgolf They don’t earn money without fans, no fans no tournament sponsor… https://t.co/Wm6Lo1yE0E",,Twitter for iPhone,FALSE,D33
DP Dutcher,1.63931E+18,Southern California,"Was livin the life. Then I inherited a grand child to raise so I taught her to golf too. Christian, old surfer, damn good golfer. 
Male/Normal/hack 5.8 hdcp",2022-10-12 03:48:30+00:00,162,239,4113,FALSE,2023-03-24 16:40:37+00:00,@d33_jordy @golfwank3r @ronnie2609 @flushingitgolf You and everyone else on this planet need to understand that fan… https://t.co/242o5DEYIJ,,Twitter Web App,FALSE,D33
corb ✧ whipped ⚬ nsfw dni,1.6393E+18,✧ humble bow of thanks !,🎀 • rentry byf ! priv: @corbettsnest ⚘ 17 ⚘ he/plush/fang/caw 🦢,2022-09-07 12:22:39+00:00,257,1052,46510,FALSE,2023-03-24 16:02:55+00:00,@cly_d33 cake my meow mekw,,Twitter for iPad,FALSE,D33
Boxfort 💔💥 @ Emo Era,1.6393E+18,No reposts please,"Pink • She/They/He • Lesbian • 21 • 🇹🇭 • OSC Brainrot • RTs a lot, like a LOT • Do not repost my art",2015-05-25 12:09:10+00:00,1409,830,87201,FALSE,2023-03-24 15:58:43+00:00,@cly_d33 DID YOU VOTE FOR SOMEONE YOU HATE??? NOOOOOOOOOOOOOOOO,,Twitter Web App,FALSE,D33
Drew,1.63929E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-24 15:54:29+00:00,RT @ariidavis_: Tar Heel for life💙🐏 #seniorszn,['seniorszn'],Twitter for iPhone,FALSE,D33
Zimri ROSAS,1.63929E+18,"Ciudad Guayana,Venezuela.",Lcdo. en Gcia. de Recursos Humanos - UDO/ Gobernabilidad y Gerencia Politica UCAB-GWU-CAF/ Planificacion y Finanzas Publicas - EVP/ Locutor UCV. Maestrando.,2012-01-04 02:21:47+00:00,4511,4998,110623,FALSE,2023-03-24 15:52:28+00:00,RT @Abbas_H_Sajwani: I had the pleasure to meet @land_department executives to discuss ways to boost the real estate sector in #Dubai and s…,['Dubai'],Twitter for Android,FALSE,D33
DWTDP,1.63929E+18,,"average ii fan

 @tangytaste_ is the goat he made my pfp",2023-01-14 18:42:57+00:00,28,94,881,FALSE,2023-03-24 15:52:19+00:00,@cly_d33 YOUVE BEEN VOTING FOR THE ONE YOU DISLIKE???? I thankfully voted for tree to stay teehee,,Twitter for Android,FALSE,D33
Muhammad Ali,1.63929E+18,,,2021-06-20 15:11:12+00:00,107,314,17020,FALSE,2023-03-24 15:22:36+00:00,"RT @HamdanMohammed: Today, I met with Dubai Government’s senior officials to discuss ambitious transformations in government work. With the…",,Twitter for Android,FALSE,D33
Nana Kwame,1.63928E+18,"Sekondi Takoradi, Ghana",A young man at the age of 26 years also am sports presenter at Energy FM Prestea in Western Ghana,2018-11-05 12:01:52+00:00,126,549,4937,FALSE,2023-03-24 15:11:32+00:00,@enokay69 Chairman we never get some before ooo so pls dis one d33 I dey inside🧐🧐🧐,,Twitter for Android,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63928E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 15:06:01+00:00,@caution_pumpkin Yeah im a trophy fictionkin yaya,,Twitter for Android,FALSE,D33
Drew,1.63928E+18,,,2013-01-31 16:50:10+00:00,160,759,20050,FALSE,2023-03-24 15:05:29+00:00,"RT @40kgCostume: I’ll fight any man as long as they: 

-Accept 70/30

-Negotiate the contract in 2 days

-Accept the rematch on my terms ev…",,Twitter for iPhone,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63928E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 15:05:28+00:00,Wdym the votes are for saving im so stupid.............,,Twitter for Android,FALSE,D33
MOONLIGHT2222,1.63928E+18,Pretoria South Africa,"Hello, my name is Binta Barry I am a happily divorced mother👩 of three beautiful children whom I love ❤ very much ❤ I love movies,taking care of children,",2017-12-27 19:42:29+00:00,314,2708,23085,FALSE,2023-03-24 14:58:19+00:00,RT @HamdanMohammed: Our directives are aimed at accelerating our plans to achieve this goal and make Dubai one of the top 10 digital econom…,,Twitter for Android,FALSE,D33
Caution/Amber⚠️🎃,1.63928E+18,she/critter/it/he,I luv bugs 🐞🐛 osc 🍎 rarepair enthusiast 💡🌮 Canadian Trini 🇨🇦🇹🇹 Lesbian!! 🍃🍄 silly kitty brain :3 🐾🐈 pfp made by @/DoctorShimada,2022-08-19 03:23:09+00:00,140,269,3152,FALSE,2023-03-24 14:52:13+00:00,@cly_d33 such a trophy thing to say,,Twitter for iPhone,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63928E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 14:50:43+00:00,RT @CursedOSC: / loud + tpot 4 spoilers https://t.co/cZN6uZ7J0S,,Twitter for Android,FALSE,D33
CLYDEE 🐾🏆┊˚ ̥۪͙۪ DNI NSFW,1.63928E+18,✩ he/they/xe +  🇨🇱 ₓ˚ Fickin,🌈 ₓ˚. proshitters dni and d/e!! ┊14yo adhdtistic 💫┊⋆ OSC ★┊🏳️‍⚧️ artist┊MaMP ₓ˚. pfp: frickinrye - ̥۪ not matching anymore but FOLLOW  @sodabfdi ⋆ ★,2021-01-08 18:29:12+00:00,592,332,19897,FALSE,2023-03-24 14:50:14+00:00,"RT @cody_crawlies: Spoilers //

She was so violent this episode I love that for her you go girl https://t.co/hfycCPmK17",,Twitter for Android,FALSE,D33
